order:    [ 1 9 19 0 2 3 4 5 8 10 13 14 15 18 20 22 23 24 27 28 29 32 33 34 35 36 6 7 11 12 16 17 21 25 26 30 31 ]
atoms:    [ CA CA CA N C N CA C N C N CA C N C N CA C N CA C N CA C H HA H HA H HA H HA H H HA H HA ]
residues: [ 0 2 4 0 0 1 1 1 2 2 3 3 3 4 4 5 5 5 6 6 6 7 7 7 7 7 1 1 2 2 3 3 4 5 5 6 6 ]

We use a different pair of symbles to represent the bits values which are associated with the HA and H of the discretized distance, and another one to represent the bits of other hydrogens.
For the HA and H from the discretized distance:
	"+" means 0
	"-" means 1
For any other hydrogens:
	">" means 0
	"<" means 1

d_0_9=5.944263332893 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < < < < > < ]
5.944263332893 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < > < < > < ]
5.944263332893 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < < < < > < ]
5.944263332893 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < > < < > < ]

d_0_9=5.944263332893 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > > > > < > ]
5.944263332893 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > < > > < > ]
5.944263332893 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > > > > < > ]
5.944263332893 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > < > > < > ]

d_0_9=5.945933022973 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < < < < > < ]
5.945933022973 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < > < < > < ]
5.945933022973 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < < < < > < ]
5.945933022973 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < > < < > < ]

d_0_9=5.945933022973 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > > > > < > ]
5.945933022973 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > < > > < > ]
5.945933022973 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > > > > < > ]
5.945933022973 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > < > > < > ]

d_0_9=5.947602713053 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < < < < > < ]
5.947602713053 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < > < < > < ]
5.947602713053 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < < < < > < ]
5.947602713053 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < > < < > < ]

d_0_9=5.947602713053 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > > > > < > ]
5.947602713053 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > < > > < > ]
5.947602713053 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > > > > < > ]
5.947602713053 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > < > > < > ]

d_0_9=5.949272403133 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < < < < > < ]
5.949272403133 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < > < < > < ]
5.949272403133 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < < < < > < ]
5.949272403133 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < > < < > < ]

d_0_9=5.949272403133 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > > > > < > ]
5.949272403133 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > < > > < > ]
5.949272403133 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > > > > < > ]
5.949272403133 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > < > > < > ]

d_0_9=5.950942093213 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < < < < > < ]
5.950942093213 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < > < < > < ]
5.950942093213 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < < < < > < ]
5.950942093213 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < > < < > < ]

d_0_9=5.950942093213 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > > > > < > ]
5.950942093213 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > < > > < > ]
5.950942093213 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > > > > < > ]
5.950942093213 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > < > > < > ]

d_0_9=5.952611783293 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < < < < > < ]
5.952611783293 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < > < < > < ]
5.952611783293 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < < < < > < ]
5.952611783293 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < > < < > < ]

d_0_9=5.952611783293 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > > > > < > ]
5.952611783293 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > < > > < > ]
5.952611783293 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > > > > < > ]
5.952611783293 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > < > > < > ]

d_0_9=5.954281473373 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < < < < > < ]
5.954281473373 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < > < < > < ]
5.954281473373 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < < < < > < ]
5.954281473373 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < > < < > < ]

d_0_9=5.954281473373 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > > > > < > ]
5.954281473373 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > < > > < > ]
5.954281473373 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > > > > < > ]
5.954281473373 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > < > > < > ]

d_0_9=5.955951163453 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < < < < > < ]
5.955951163453 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < > < < > < ]
5.955951163453 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < > < < < < > < ]
5.955951163453 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < > < < > < ]

d_0_9=5.955951163453 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > > > > < > ]
5.955951163453 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > < > > < > ]
5.955951163453 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > > > > < > ]
5.955951163453 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > < > < > > < > ]

d_0_9=5.957620853534 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < < < < > < ]
5.957620853534 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < > < < > < ]

d_0_9=5.957620853534 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > > > > < > ]
5.957620853534 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > < > > < > ]

d_0_9=5.959290543614 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < < < < > < ]
5.959290543614 s=[ 0 0 0 0 1 0 0 1 1 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 < < < < < < < < > < < > < ]

d_0_9=5.959290543614 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > > > > < > ]
5.959290543614 s=[ 0 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 > > > > > > > > < > > < > ]

