pdb,nnodes,nedges,num,idist,nsols,nbbsols,tsecs,min_eij,avg_eij,max_eij,min_rmsd,avg_rmsd,max_rmsd
"{1dvjA_20 (21,22)}",19,71,10,"{[3.00, 3.20]}",0,0,0.121683,,,,,,
"{1dvjA_20 (21,22)}",19,71,100,"{[3.00, 3.20]}",2,2,2.228833,0.0001939,0.0001939,0.0001939,0.002186,0.002186,0.002186
"{1dvjA_20 (21,22)}",19,71,1000,"{[3.00, 3.20]}",8,8,9.871037,0.003194,0.00577625,0.008356,0.03797,0.0747725,0.1116
"{1dysA_47 (48,49)}",18,64,10,"{[2.28, 2.48]}",20,16,0.171829,0.000788,0.00244725,0.003635,0.1319,0.315575,0.6017
"{1dysA_47 (48,49)}",18,64,100,"{[2.28, 2.48]}",220,184,3.569447,8.172e-06,0.0024452228695652175,0.003926,0.001057,0.3233462608695652,0.7885
"{1dysA_47 (48,49)}",18,64,1000,"{[2.28, 2.48]}",2176,1820,16.109424,8.172e-06,0.0024553775648351647,0.00401,0.0001586,0.3174957697802197,0.7864
"{1eguA_404 (405,406)}",18,67,10,"{[2.85, 3.05]}",8,8,1.466748,0.000314,0.0003954,0.0004754,0.0251,0.0261,0.02708
"{1eguA_404 (405,406)}",18,67,100,"{[2.85, 3.05]}",92,92,16.218798,5.174e-06,0.00026885291304347826,0.0005488,0.0002632,0.01743009130434783,0.03996
"{1eguA_404 (405,406)}",18,67,1000,"{[2.85, 3.05]}",934,934,135.658877,1.714e-07,0.0002690178809421842,0.000572,5.384e-05,0.01749185961456103,0.04183
"{1ej0A_74 (75,76)}",16,55,10,"{[3.34, 3.54]}",0,0,0.097738,,,,,,
"{1ej0A_74 (75,76)}",16,55,100,"{[3.34, 3.54]}",32,8,0.656461,0.0003755,0.002340125,0.006,0.01398,0.13499250000000002,0.2583
"{1ej0A_74 (75,76)}",16,55,1000,"{[3.34, 3.54]}",256,64,6.086901,5.608e-05,0.003467399375,0.009359,0.001858,0.189882125,0.2973
"{1i0hA_123 (124,125)}",18,63,10,"{[2.11, 2.31]}",16,8,0.990529,0.002793,0.0054564999999999995,0.008171,0.09269,0.5125474999999999,1.527
"{1i0hA_123 (124,125)}",18,63,100,"{[2.11, 2.31]}",156,78,9.403412,2.574e-05,0.005401772820512821,0.009951,0.0007936,0.28082752820512813,1.607
"{1i0hA_123 (124,125)}",18,63,1000,"{[2.11, 2.31]}",1552,776,79.612029,1.336e-05,0.005267926701030928,0.009993,0.0001768,0.27979653041237107,1.61
"{1id0A_405 (406,407)}",19,75,10,"{[3.22, 3.42]}",0,0,0.103752,,,,,,
"{1id0A_405 (406,407)}",19,75,100,"{[3.22, 3.42]}",16,8,0.943686,1.1e-05,0.00112535,0.002837,0.001584,0.061521000000000006,0.128
"{1id0A_405 (406,407)}",19,75,1000,"{[3.22, 3.42]}",168,84,9.028894,1.114e-06,0.0011886710476190477,0.004255,0.0002058,0.06400006666666666,0.1605
"{1qnrA_195 (196,197)}",19,75,10,"{[3.45, 3.65]}",0,0,0.081776,,,,,,
"{1qnrA_195 (196,197)}",19,75,100,"{[3.45, 3.65]}",8,6,0.791069,1.308e-06,0.000364536,0.0006518,0.009383,0.102061,0.1537
"{1qnrA_195 (196,197)}",19,75,1000,"{[3.45, 3.65]}",94,58,6.692469,3.039e-07,0.0006085877896551725,0.0008914,0.001398,0.12729613793103448,0.2675
"{1qopA_44 (45,46)}",18,66,10,"{[3.39, 3.59]}",2,2,0.067817,0.007171,0.007171,0.007171,0.4133,0.4133,0.4133
"{1qopA_44 (45,46)}",18,66,100,"{[3.39, 3.59]}",48,32,0.662233,3.8e-06,0.0033619043749999996,0.009643,0.005984,0.27630025,0.4849
"{1qopA_44 (45,46)}",18,66,1000,"{[3.39, 3.59]}",522,342,5.618159,3.229e-06,0.0035626182222222224,0.009988,0.0006454,0.2712588035087719,0.4953
"{1tcaA_95 (96,97)}",18,65,10,"{[2.19, 2.39]}",0,0,0.088787,,,,,,
"{1tcaA_95 (96,97)}",18,65,100,"{[2.19, 2.39]}",28,10,0.724717,1.529e-06,0.0015308718,0.003359,0.002632,0.11970639999999999,0.226
"{1tcaA_95 (96,97)}",18,65,1000,"{[2.19, 2.39]}",260,102,6.674214,1.418e-06,0.0015763427450980396,0.003414,0.0003573,0.12574943725490198,0.2454
"{1thfD_121 (122,123)}",18,67,10,"{[3.41, 3.61]}",0,0,0.132676,,,,,,
"{1thfD_121 (122,123)}",18,67,100,"{[3.41, 3.61]}",22,12,1.001601,4.89e-07,0.0006615481666666667,0.001155,0.002349,0.0772715,0.1407
"{1thfD_121 (122,123)}",18,67,1000,"{[3.41, 3.61]}",230,126,8.759377,2.17e-07,0.0006511053031746034,0.00124,0.0003619,0.08010752222222221,0.1633
"{1cruA_85 (87,89)}",37,202,10,"{[3.48, 3.68]}",0,0,0.290248,,,,,,
"{1cruA_85 (87,89)}",37,202,100,"{[3.48, 3.68]}",8,2,3.637948,0.003778,0.003778,0.003778,0.01032,0.01032,0.01032
"{1cruA_85 (87,89)}",37,202,1000,"{[3.48, 3.68]}",48,12,21.940058,5.793e-05,0.0059131558333333336,0.009736,0.001225,0.016345666666666665,0.02642
"{1ctqA_144 (146,148)}",38,215,10,"{[3.27, 3.47]}",0,0,0.649502,,,,,,
"{1ctqA_144 (146,148)}",38,215,100,"{[3.27, 3.47]}",8,2,5.862612,0.0004547,0.0004547,0.0004547,0.002645,0.002645,0.002645
"{1ctqA_144 (146,148)}",38,215,1000,"{[3.27, 3.47]}",104,26,53.376271,9.705e-05,0.004440011538461539,0.009945,0.0004291,0.0248357,0.0557
"{1d8wA_334 (336,338)}",39,208,10,"{[3.04, 3.24]}",0,0,0.448971,,,,,,
"{1d8wA_334 (336,338)}",39,208,100,"{[3.04, 3.24]}",48,6,4.361399,0.0004356,0.0055522,0.00894,0.003539,0.04209299999999999,0.06387
"{1d8wA_334 (336,338)}",39,208,1000,"{[3.04, 3.24]}",400,50,36.975696,4.116e-05,0.0049709383999999995,0.00977,0.0002053,0.038216252,0.07903
"{1ds1A_20 (22,24)}",37,194,10,"{[3.48, 3.68]}",0,0,0.252325,,,,,,
"{1ds1A_20 (22,24)}",37,194,100,"{[3.48, 3.68]}",64,4,3.784186,0.0007153,0.0007410499999999999,0.0007668,0.01297,0.013425000000000001,0.01388
"{1ds1A_20 (22,24)}",37,194,1000,"{[3.48, 3.68]}",800,52,35.06631,0.0001016,0.0051572423076923085,0.009666,0.001776,0.09458775000000001,0.1896
"{1gk8A_122 (124,126)}",37,200,10,"{[2.75, 2.95]}",0,0,0.103721,,,,,,
"{1gk8A_122 (124,126)}",37,200,100,"{[2.75, 2.95]}",48,6,1.631064,0.0003454,0.0051018,0.008137,0.00189,0.027396666666666663,0.04285
"{1gk8A_122 (124,126)}",37,200,1000,"{[2.75, 2.95]}",432,54,14.813856,5.726e-05,0.004966050370370371,0.009811,0.00032,0.026829444444444447,0.05439
"{1i0hA_145 (147,149)}",37,198,10,"{[3.48, 3.68]}",0,0,0.312348,,,,,,
"{1i0hA_145 (147,149)}",37,198,100,"{[3.48, 3.68]}",8,2,2.918708,0.001358,0.001358,0.001358,0.004422,0.004422,0.004422
"{1i0hA_145 (147,149)}",37,198,1000,"{[3.48, 3.68]}",56,14,27.817963,0.0002676,0.0051468,0.0092,0.0009062,0.01687802857142857,0.03026
"{1ixhA_106 (108,110)}",39,215,10,"{[2.27, 2.47]}",0,0,0.152638,,,,,,
"{1ixhA_106 (108,110)}",39,215,100,"{[2.27, 2.47]}",36,12,1.699641,0.0006756,0.003492483333333333,0.005729,0.009348,0.04717333333333334,0.07687
"{1ixhA_106 (108,110)}",39,215,1000,"{[2.27, 2.47]}",312,104,16.310642,4.095e-05,0.0031437236538461536,0.006145,0.001082,0.04247315384615385,0.08357
"{1lamA_420 (422,424)}",38,197,10,"{[2.47, 2.67]}",0,0,0.585432,,,,,,
"{1lamA_420 (422,424)}",38,197,100,"{[2.47, 2.67]}",368,12,7.824401,0.0001645,0.0050630833333333335,0.00982,0.001349,0.0444115,0.0937
"{1lamA_420 (422,424)}",38,197,1000,"{[2.47, 2.67]}",3808,120,73.497922,4.793e-06,0.005046311550000001,0.009973,0.000239,0.042792449999999996,0.09436
"{1qopB_14 (16,18)}",37,194,10,"{[2.08, 2.28]}",0,0,0.401955,,,,,,
"{1qopB_14 (16,18)}",37,194,100,"{[2.08, 2.28]}",8,4,4.261618,0.001685,0.0034515,0.005218,0.0191,3.70655,7.394
"{1qopB_14 (16,18)}",37,194,1000,"{[2.08, 2.28]}",24,12,57.071749,2.612e-05,0.00466467,0.0097,0.0009753,2.47695555,7.395
"{3chbD_51 (53,55)}",37,192,10,"{[3.13, 3.33]}",0,0,0.287409,,,,,,
