pdb,nnodes,nedges,num,idist,nsols,nbbsols,tsecs,min_eij,avg_eij,max_eij,min_rmsd,avg_rmsd,max_rmsd
"{3chbD_51 (53,55)}",37,192,100,"{[3.13, 3.33]}",16,4,3.035604,0.001119,0.001788,0.002457,0.004303,0.006830000000000001,0.009357
"{3chbD_51 (53,55)}",37,192,1000,"{[3.13, 3.33]}",224,56,49.100868,0.0002883,0.004890178571428571,0.009421,0.001385,0.01874857142857143,0.0363
"{1cruA_85 (88,91)}",57,391,10,"{[2.72, 2.92]}",0,0,0.260304,,,,,,
"{1cruA_85 (88,91)}",57,391,100,"{[2.72, 2.92]}",64,2,2.471064,0.003666,0.003666,0.003666,0.02514,0.02514,0.02514
"{1cruA_85 (88,91)}",57,391,1000,"{[2.72, 2.92]}",192,6,22.29508,0.0005292,0.005333066666666667,0.008342,0.003892,0.036790666666666666,0.05755
"{1ctqA_26 (29,32)}",58,384,10,"{[2.06, 2.26]}",0,0,0.271441,,,,,,
"{1ctqA_26 (29,32)}",58,384,100,"{[2.06, 2.26]}",0,0,1.358545,,,,,,
"{1ctqA_26 (29,32)}",58,384,1000,"{[2.06, 2.26]}",32,2,17.436835,0.007415,0.007415,0.007415,0.1334,0.1334,0.1334
"{1d4oA_88 (91,94)}",58,402,10,"{[3.42, 3.62]}",0,0,1.707797,,,,,,
"{1d4oA_88 (91,94)}",58,402,100,"{[3.42, 3.62]}",88,22,18.621687,0.0003365,0.004320563636363637,0.009353,0.01248,0.15962181818181817,0.3472
"{1d4oA_88 (91,94)}",58,402,1000,"{[3.42, 3.62]}",904,226,195.016557,8.147e-05,0.004300442300884956,0.009988,0.002093,0.1588757168141593,0.3714
"{1d8wA_46 (49,52)}",57,402,10,"{[2.65, 2.85]}",0,0,0.525624,,,,,,
"{1d8wA_46 (49,52)}",57,402,100,"{[2.65, 2.85]}",96,4,6.436517,0.0002994,0.0029817,0.005664,0.002557,0.027913499999999997,0.05327
"{1d8wA_46 (49,52)}",57,402,1000,"{[2.65, 2.85]}",1312,50,64.895366,3.519e-05,0.0040879756,0.009619,0.0008744,0.036586536,0.08551
"{1ds1A_282 (285,288)}",56,378,10,"{[2.73, 2.93]}",16,4,0.968355,0.001591,0.0016845,0.001778,0.1577,0.16635,0.175
"{1ds1A_282 (285,288)}",56,378,100,"{[2.73, 2.93]}",264,66,12.767843,0.0001192,0.0016236848484848486,0.004117,0.007184,0.15801163636363638,0.3777
"{1ds1A_282 (285,288)}",56,378,1000,"{[2.73, 2.93]}",2648,662,111.536012,0.0001192,0.0016236936555891238,0.004209,0.002068,0.15788348942598185,0.3852
"{1dysA_291 (294,297)}",56,375,10,"{[2.37, 2.57]}",0,0,0.551714,,,,,,
"{1dysA_291 (294,297)}",56,375,100,"{[2.37, 2.57]}",96,6,6.026024,0.0004636,0.006461533333333334,0.009667,0.009494,0.129598,0.1925
"{1dysA_291 (294,297)}",56,375,1000,"{[2.37, 2.57]}",704,44,64.385103,4.788e-05,0.005155194545454545,0.00999,0.0009204,0.10300501818181819,0.1991
"{1eguA_508 (511,514)}",59,406,10,"{[3.35, 3.55]}",0,0,0.09475,,,,,,
"{1eguA_508 (511,514)}",59,406,100,"{[3.35, 3.55]}",32,2,1.136181,0.001694,0.001694,0.001694,0.01322,0.01322,0.01322
"{1eguA_508 (511,514)}",59,406,1000,"{[3.35, 3.55]}",160,10,9.740975,0.0002872,0.00440204,0.007438,0.002301,0.03465819999999999,0.05882
"{1f74A_11 (14,17)}",58,401,10,"{[3.49, 3.69]}",0,0,0.320358,,,,,,
"{1f74A_11 (14,17)}",58,401,100,"{[3.49, 3.69]}",96,4,3.414194,0.0002412,0.0007256,0.00121,0.03765,0.089975,0.1423
"{1f74A_11 (14,17)}",58,401,1000,"{[3.49, 3.69]}",432,26,29.738726,8.245e-05,0.002706473076923077,0.008543,0.008484,0.2320887692307692,0.5808
"{1q1wA_31 (34,37)}",57,378,10,"{[3.40, 3.60]}",0,0,1.60994,,,,,,
"{1q1wA_31 (34,37)}",57,378,100,"{[3.40, 3.60]}",1280,4,25.324897,0.006029,0.0078825,0.009736,0.02444,0.09417,0.1639
"{1q1wA_31 (34,37)}",57,378,1000,"{[3.40, 3.60]}",1280,4,172.753688,0.001509,0.0056225,0.009736,0.007226,0.08511300000000001,0.163
"{1qopA_178 (181,184)}",56,372,10,"{[3.38, 3.58]}",0,0,10.282609,,,,,,
"{1qopA_178 (181,184)}",56,372,100,"{[3.38, 3.58]}",1216,10,97.454914,0.0002062,0.005053439999999999,0.008468,0.002814,0.0472348,0.07886
"{1qopA_178 (181,184)}",56,372,1000,"{[3.38, 3.58]}",11584,96,922.576954,1.963e-05,0.004967383958333333,0.009791,0.002224,0.04759658333333333,0.1511
