order:    [ 1 9 10 0 15 14 13 17 16 12 8 4 5 11 3 7 2 6 ]
atoms:    [ CA CA C N C CA N HA H HA N CA C H N HA C H ]
residues: [ 0 2 2 0 3 3 3 3 3 2 2 1 1 2 1 1 0 1 ]

We use a different pair of symbles to represent the bits values which are associated with the HA and H of the discretized distance, and another one to represent the bits of other hydrogens.
For the HA and H from the discretized distance:
	"+" means 0
	"-" means 1
For any other hydrogens:
	">" means 0
	"<" means 1

d_16_12=2.247981571461 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 < ]
2.247981571461 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 > ]

d_16_12=2.248181771662 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 < ]
2.248181771662 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 > ]

d_16_12=2.248381971862 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 < ]
2.248381971862 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 > ]

d_16_12=2.248582172062 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 < ]
2.248582172062 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 > ]

d_16_12=2.248782372262 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 < ]
2.248782372262 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 > ]

d_16_12=2.248982572462 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 < ]
2.248982572462 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 > ]
2.248982572462 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 < ]
2.248982572462 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 < 0 > 0 > ]

d_16_12=2.249182772663 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 < ]
2.249182772663 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 > ]

d_16_12=2.249382972863 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 < ]
2.249382972863 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 > ]

d_16_12=2.249583173063 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 < ]
2.249583173063 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 > ]

d_16_12=2.249783373263 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 < ]
2.249783373263 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 > ]

d_16_12=2.249983573463 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 < ]
2.249983573463 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 > ]

d_16_12=2.250183773664 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 < ]
2.250183773664 s=[ 0 0 0 0 1 1 0 < + - 1 0 0 > 0 > 0 > ]

