order:    [ 5 1 2 4 7 3 0 10 11 15 14 13 17 16 9 6 8 12 ]
atoms:    [ CA CA C N H HA N CA C C CA N HA H N C HA H ]
residues: [ 1 0 0 1 1 0 0 2 2 3 3 3 3 3 2 1 1 2 ]

We use a different pair of symbles to represent the bits values which are associated with the HA and H of the discretized distance, and another one to represent the bits of other hydrogens.
For the HA and H from the discretized distance:
	"+" means 0
	"-" means 1
For any other hydrogens:
	">" means 0
	"<" means 1

d_7_3=2.136005201021 s=[ 0 0 0 0 - + 1 0 0 1 1 0 < > 0 0 < < ]
2.136005201021 s=[ 0 0 0 0 - + 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.136005201021 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.136005201021 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.136205401221 s=[ 0 0 0 0 - + 1 0 0 1 1 0 < > 0 0 < < ]
2.136205401221 s=[ 0 0 0 0 - + 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.136205401221 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.136205401221 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.136405601421 s=[ 0 0 0 0 - + 1 0 0 1 1 0 < > 0 0 < < ]
2.136405601421 s=[ 0 0 0 0 - + 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.136405601421 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.136405601421 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.136605801622 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.136605801622 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.136806001822 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.136806001822 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.137006202022 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.137006202022 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.137206402222 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.137206402222 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.137406602422 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.137406602422 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.137606802623 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.137606802623 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.137807002823 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.137807002823 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.138007203023 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.138007203023 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.138207403223 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.138207403223 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.138407603423 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.138407603423 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.138607803624 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.138607803624 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.138808003824 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.138808003824 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.139008204024 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.139008204024 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.139208404224 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.139208404224 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.139408604424 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.139408604424 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.139608804625 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.139608804625 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.139809004825 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.139809004825 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.140009205025 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
2.140009205025 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < > ]

d_7_3=2.140209405225 s=[ 0 0 0 0 - - 1 0 0 1 1 0 < > 0 0 < < ]
