order:    [ 1 10 11 0 16 15 14 18 17 13 9 5 6 12 4 8 2 3 7 ]
d_17_13=3.290195982673 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.290195982673 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.290396182873 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.290396182873 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.290596383073 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.290596383073 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.290796583273 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.290796583273 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.290996783473 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.290996783473 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.291196983674 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.291196983674 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.291397183874 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.291397183874 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.291597384074 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.291597384074 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.291797584274 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.291797584274 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.291997784474 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.291997784474 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.292197984675 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.292197984675 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.292398184875 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.292398184875 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.292598385075 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.292598385075 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.292798585275 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.292798585275 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.292998785475 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.292998785475 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.293198985676 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.293198985676 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.293399185876 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.293399185876 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.293599386076 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.293599386076 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.293799586276 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.293799586276 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.293999786476 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.293999786476 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.294199986677 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]
3.294199986677 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]

d_17_13=3.294400186877 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]
3.294400186877 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]

d_17_13=3.294600387077 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]
3.294600387077 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]

d_17_13=3.294800587277 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]
3.294800587277 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]

d_17_13=3.295000787477 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]
3.295000787477 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]

d_17_13=3.295200987678 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]
3.295200987678 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]

d_17_13=3.295401187878 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > > ]
3.295401187878 s=[ 0 0 0 0 1 1 0 > + - 0 0 1 < 0 < 0 > < ]

d_17_13=3.287192979670 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.287192979670 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.287393179870 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.287393179870 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.287593380070 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.287593380070 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.287793580270 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.287793580270 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.287993780470 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.287993780470 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.288193980671 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.288193980671 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.288394180871 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.288394180871 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.288594381071 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.288594381071 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.288794581271 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.288794581271 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.288994781471 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.288994781471 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.289194981672 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.289194981672 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.289395181872 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.289395181872 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.289595382072 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.289595382072 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.289795582272 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.289795582272 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.289995782472 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.289995782472 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.290195982673 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.290195982673 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.290396182873 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.290396182873 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.290596383073 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.290596383073 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.290796583273 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.290796583273 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.290996783473 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.290996783473 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.291196983674 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.291196983674 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.291397183874 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.291397183874 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.291597384074 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.291597384074 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.291797584274 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.291797584274 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.291997784474 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.291997784474 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.292197984675 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.292197984675 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.292398184875 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.292398184875 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.292598385075 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.292598385075 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.292798585275 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.292798585275 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.292998785475 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.292998785475 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.293198985676 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.293198985676 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.293399185876 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.293399185876 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.293599386076 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.293599386076 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.293799586276 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.293799586276 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.293999786476 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.293999786476 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.294199986677 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]
3.294199986677 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]

d_17_13=3.294400186877 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]
3.294400186877 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]

d_17_13=3.294600387077 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]
3.294600387077 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]

d_17_13=3.294800587277 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]
3.294800587277 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]

d_17_13=3.295000787477 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]
3.295000787477 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]

d_17_13=3.295200987678 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]
3.295200987678 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]

d_17_13=3.295401187878 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < < ]
3.295401187878 s=[ 0 0 0 1 0 0 1 < + + 1 1 0 > 1 > 1 < > ]

